00:00:41.563;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:41.617;A;$GPGSV,2,1,07,05,53,292,43,07,54,062,33,09,21,098,30,11,,,22*4A
00:00:41.676;B;$SDDPT,,0.00,100.0*4A
00:00:41.684;A;$GPGSV,2,2,07,13,36,280,32,20,,,31,30,83,141,24*78
00:00:41.730;B;$SDDBT,,f,,M,,F*28
00:00:41.739;A;$GPGLL,4935.39609,N,01104.05026,E,155537.00,A,A*62
00:00:41.776;B;$YXMTW,27.12,C*24
00:00:42.205;I;$POSMVCC,5073,4873*5E
00:00:42.376;A;$GPRMC,155538.00,A,4935.39745,N,01104.05047,E,0.991,,200824,,,A*77
00:00:42.449;A;$GPVTG,,T,,M,0.991,N,1.836,K,A*2E
00:00:42.486;A;$GPGGA,155538.00,4935.39745,N,01104.05047,E,1,05,3.12,295.6,M,47.0,M,,*58
00:00:42.564;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:42.616;A;$GPGSV,2,1,07,05,53,292,35,07,54,062,34,09,21,098,29,11,,,21*47
00:00:42.672;B;$SDDPT,,0.00,100.0*4A
00:00:42.686;A;$GPGSV,2,2,07,13,36,280,33,20,,,37,30,83,141,35*7F
00:00:42.727;B;$SDDBT,,f,,M,,F*28
00:00:42.739;A;$GPGLL,4935.39745,N,01104.05047,E,155538.00,A,A*63
00:00:42.774;B;$YXMTW,27.12,C*24
00:00:43.207;I;$POSMVCC,5073,4873*5E
00:00:43.371;A;$GPRMC,155539.00,A,4935.39951,N,01104.05075,E,0.155,,200824,,,A*7C
00:00:43.445;A;$GPVTG,,T,,M,0.155,N,0.288,K,A*20
00:00:43.482;A;$GPGGA,155539.00,4935.39951,N,01104.05075,E,1,05,3.12,294.9,M,47.0,M,,*5D
00:00:43.559;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:43.614;A;$GPGSV,2,1,07,05,53,292,31,07,54,062,37,09,21,098,21,11,,,22*4B
00:00:43.675;B;$SDDPT,,0.00,100.0*4A
00:00:43.681;A;$GPGSV,2,2,07,13,36,280,36,20,,,39,30,83,141,39*78
00:00:43.728;B;$SDDBT,,f,,M,,F*28
00:00:43.735;A;$GPGLL,4935.39951,N,01104.05075,E,155539.00,A,A*68
00:00:43.776;B;$YXMTW,27.11,C*27
00:00:44.207;I;$POSMVCC,5073,4873*5E
00:00:44.372;A;$GPRMC,155540.00,A,4935.39749,N,01104.05038,E,1.075,,200824,,,A*7E
00:00:44.448;A;$GPVTG,,T,,M,1.075,N,1.992,K,A*23
00:00:44.483;A;$GPGGA,155540.00,4935.39749,N,01104.05038,E,1,05,3.12,297.5,M,47.0,M,,*52
00:00:44.561;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
